Timestamp,Safety State,Face Orientation,Left Hand Zone,Right Hand Zone,Hands in Zone,Total Hands
2026-04-11 12:26:36,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:41,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:46,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:51,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:28:21,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:30:13,WARNING,No Face,HAND ZONE,Not Detected,0,1
2026-04-11 12:30:47,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:30:52,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:30:57,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:32:40,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:32:45,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:32:51,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:32:56,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:01,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:06,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:11,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:17,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:22,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:27,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:32,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:37,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:42,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:47,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:52,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:33:58,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:34:12,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:34:17,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:34:26,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:34:47,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:35:41,WARNING,No Face,Outside Safe Zone,Not Detected,0,1
2026-04-11 12:35:46,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:35:51,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:36:15,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:36:41,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:36:48,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:36:56,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:37:05,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:37:12,WARNING,No Face,Outside Safe Zone,Not Detected,0,1
2026-04-11 12:38:19,CRITICAL,Tilted Down,Not Detected,HAND ZONE,0,1
2026-04-11 12:39:08,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:40:57,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:41:13,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:41:37,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:43:59,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:45:22,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:45:27,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:45:32,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:45:37,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:45:42,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:45:47,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:46:39,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 12:48:25,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:48:30,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:48:35,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:48:40,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:48:46,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 12:49:01,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:49:06,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:49:11,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:49:16,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:49:21,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:49:26,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:49:31,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:49:36,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:49:41,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:49:47,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:52:24,WARNING,Forward,DANGER ZONE,Not Detected,0,1
2026-04-11 12:52:29,WARNING,Forward,DANGER ZONE,Not Detected,0,1
2026-04-11 14:47:44,CRITICAL,Tilted Down,Outside Safe Zone,Outside Safe Zone,0,2
2026-04-11 14:47:49,CRITICAL,Tilted Down,HAND ZONE,Outside Safe Zone,0,2
2026-04-11 14:47:59,CRITICAL,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-11 15:12:39,CRITICAL,Tilted Down,Not Detected,HAND ZONE,0,1
2026-04-11 15:12:44,CRITICAL,Tilted Down,Not Detected,HAND ZONE,0,1
2026-04-11 15:12:50,CRITICAL,Tilted Down,Not Detected,HAND ZONE,0,1
2026-04-11 15:12:55,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 15:13:02,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 16:11:26,WARNING,No Face,Outside Safe Zone,Not Detected,0,1
2026-04-11 16:12:04,CRITICAL,Tilted Down,Not Detected,Not Detected,0,0
2026-04-11 16:12:09,WARNING,No Face,Not Detected,Not Detected,0,0
